hotel_id,stars
nxdd9sN7Fi58c_h3iKDyJg,3.5
JEs3sXyQu2GlP_aooyymZw,3.5
okIjifZcimFjXoXGPJd38w,3.5
zsSGQz1EAxrnQ9xMCUCowA,5.0
gP_6kJb2JSI3vPjCK2alVA,3.0
PX0v74DjqZZJUZ7xChZA5A,2.5
YyANO0qR2zE0YILChhz2Pg,4.5
gKzB1hzsMJoHBS5GSQtBWA,5.0
VcTgUR0kznEqclt3valM9A,4.5
cUMbOD5ucJBPJtk8A8d6IQ,4.5
Y5vtCtpQqusKSaCJM-9bmA,5.0
EsXa26d9CjbI7LmFg8hzwA,5.0
bCOe_-9xxTebv7QIFxdHxw,3.0
Gd7WbHtPtHJ6L_oUDEJ7KA,2.0
BIAOJy6CH2lFfnJE62KF3w,3.5
GEpIV65f4afQHlL-yxC3wA,4.0
dBAUTAHpsejsMybVyg9itw,3.5
qmhPfNvckSiJg3FTCl75Ag,3.0
FUnsQ1dcBglbylOtdrgGdQ,3.0
EMxIYSLJY66IkGAWy2-y3Q,4.5
My2SVTK-fENdceo2da2rgQ,5.0
JvNl5rZev9ZEG7hUY5uFtQ,3.5
KGoK1lpKmkTV6uMK2hrzfQ,1.5
FslwJsomiL1bsoaBJrhEDA,5.0
zFOksLVig8w_IGsTLBhJzA,5.0
nYruWLwbN1b7TcVzPoB82A,4.5
t9cjjzodOmXnWzk-ax0X0w,2.5
52Bi28MWrAc7FJyYfXOllw,1.0
LYw8VkceK3LcVi-KkuMPtA,5.0
168YiTf0CTGbt2QXYwJgng,4.0
-y8b0-Ay1fkr3aHC2C-J2A,3.5
TxT4npNBgdKW5hsz-FFXMw,4.0
p6BRycRLALDzs0QG19Gl9A,2.0
ayfZaAe99Ocl0i_L3WtDFA,2.5
xlKodByIjsxMspCwKYhbug,5.0
6DVeRJ2akU1h8Qyh1y4OWw,4.0
EwEXJJkzzuLC0J5PLKxJKw,3.5
lRA6JkfTzbYG55u9k_y4nQ,3.5
u8UTK9Re6R4sNV3og-qN2g,3.5
WwtcV0ylKVBEvjRQFL3e3w,2.5
Vkrxmfg1A4FnO6YPgLIvpQ,3.0
N85CnSEx9Vv_PWAi_uJoCw,5.0
Zc59PYpDmewMV0QYofi2RQ,4.5
K1QL6Yha3ZVsXWDMw6s5hw,2.5
UTpEZn0WvB2XhjP-NjxZPg,2.5
Xqm_hr0xDCYI9NJLvzMbug,2.5
-rh_JBOdKDOTKGm1HyTaDA,3.5
HcReogKQ3ZyHkpkyquTUSw,2.5
2tWW_kzRhuTT3_enk9RugQ,3.5
l7e71T_WozJ6r8VrY7M94w,4.5
ZcdxRKHnu9Hrm5ovzUL8xg,5.0
Y3RWin2ub4TwGaKAonFy3A,1.0
Z10IxsMvkbt-sfrg8OJpow,5.0
ITnotbgGfzx8J5rDiUeD3A,3.0
P2l7s26bzzN_QgkWSVg3sw,2.5
-UxecpcfbpaVgI46fS2KkA,4.5
UUXP5-ZHi6AFIb2nn92Jpw,2.0
jC7X3Vs5MsNffzt4C-59ag,1.5
OQnwcGQSZ_LrPjelIEQZ6A,4.0
rp2_4bsqe4EqJHmGul0Dyw,4.0
IANgQB2oqR7NDIi5ffonYg,2.0
IvMk6OqkjuuGgLLI8QSLDw,5.0
P76MHwLsrlObNE0iqQ4Gjw,2.5
-hnHJQWo2ijb77Yqm6EnOA,4.0
JS-Q33cHqpmxgAhHjmJT2w,5.0
jlA6zUZiSOKhnT2JIHziEw,2.5
KKlKPqsL_EzySjEaDJjWIA,4.5
Oc48lSdPyu7Ifqll_wLtlg,5.0
ENNQ_JSvPz1zLi5OtR3tzA,3.5
Fm8OIA_Hz8IQzusTSTMSYQ,3.0
oulGl4jx-Knz2Vo5tZ8xfA,4.0
0rTKqrcikxRKbJcukNjrLA,4.0
NZ4ooQgXFyhfkeMS3U_2cg,3.0
a1tr4BW0_I_hvJxpxYhL8A,4.5
e44FVE2R5QeqXbLwMmvt6g,5.0
_1tgjKKo6tRoPXnBUOMqxQ,3.0
GW8gSOdXMfbJH_2krfg11w,3.0
